instant,date,season,yr,mnth,weekday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
25,2011-01-25,1,0,1,2,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985
26,2011-01-26,1,0,1,3,3,0.2175,0.2036,0.8625,0.29385,34,472,506
27,2011-01-27,1,0,1,4,1,0.195,0.2197,0.6875,0.113837,15,416,431
28,2011-01-28,1,0,1,5,2,0.203478,0.22331700000000002,0.793043,0.1233,38,1129,1167
29,2011-01-29,1,0,1,6,1,0.196522,0.212126,0.6517390000000001,0.14536500000000002,123,975,1098
30,2011-01-30,1,0,1,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096
31,2011-01-31,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501
32,2011-02-01,1,0,2,2,2,0.192174,0.23453000000000002,0.829565,0.053212999999999996,47,1313,1360
33,2011-02-02,1,0,2,3,2,0.26,0.254417,0.775417,0.264308,72,1454,1526
34,2011-02-03,1,0,2,4,1,0.18695699999999998,0.177878,0.43782600000000005,0.277752,61,1489,1550
35,2011-02-04,1,0,2,5,2,0.211304,0.22858699999999998,0.585217,0.127839,88,1620,1708
36,2011-02-05,1,0,2,6,2,0.23333299999999998,0.243058,0.929167,0.161079,100,905,1005
37,2011-02-06,1,0,2,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623
38,2011-02-07,1,0,2,1,1,0.271667,0.303658,0.738333,0.045408300000000006,120,1592,1712
39,2011-02-08,1,0,2,2,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530
40,2011-02-09,1,0,2,3,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605
41,2011-02-10,1,0,2,4,1,0.144348,0.14954800000000001,0.437391,0.221935,47,1491,1538
42,2011-02-11,1,0,2,5,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746
43,2011-02-12,1,0,2,6,1,0.2225,0.232954,0.544167,0.20336700000000002,288,1184,1472
44,2011-02-13,1,0,2,0,1,0.31652199999999997,0.324113,0.457391,0.260883,397,1192,1589
45,2011-02-14,1,0,2,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913
46,2011-02-15,1,0,2,2,1,0.26608699999999996,0.254274,0.314348,0.29137399999999997,140,1675,1815
47,2011-02-16,1,0,2,3,1,0.318261,0.3162,0.42347799999999997,0.251791,218,1897,2115
48,2011-02-17,1,0,2,4,1,0.43583299999999997,0.428658,0.505,0.230104,259,2216,2475
49,2011-02-18,1,0,2,5,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927
50,2011-02-19,1,0,2,6,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635
51,2011-02-20,1,0,2,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812
52,2011-02-21,1,0,2,1,2,0.303333,0.284075,0.605,0.307846,195,912,1107
53,2011-02-22,1,0,2,2,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450
54,2011-02-23,1,0,2,3,1,0.221739,0.24571700000000002,0.423043,0.094113,139,1778,1917
55,2011-02-24,1,0,2,4,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807
56,2011-02-25,1,0,2,5,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461
57,2011-02-26,1,0,2,6,1,0.2825,0.282192,0.537917,0.18657100000000001,424,1545,1969
58,2011-02-27,1,0,2,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402
59,2011-02-28,1,0,2,1,2,0.407273,0.400118,0.8763639999999999,0.289686,81,1365,1446
60,2011-03-01,1,0,3,2,1,0.266667,0.263879,0.535,0.216425,137,1714,1851
61,2011-03-02,1,0,3,3,1,0.335,0.320071,0.449583,0.30783299999999997,231,1903,2134
62,2011-03-03,1,0,3,4,1,0.19833299999999998,0.200133,0.318333,0.225754,123,1562,1685
63,2011-03-04,1,0,3,5,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944
64,2011-03-05,1,0,3,6,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077
65,2011-03-06,1,0,3,0,2,0.37652199999999997,0.366252,0.948261,0.343287,114,491,605
66,2011-03-07,1,0,3,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872
67,2011-03-08,1,0,3,2,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133
68,2011-03-09,1,0,3,3,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891
69,2011-03-10,1,0,3,4,3,0.38909099999999996,0.385668,0.0,0.26187699999999997,46,577,623
70,2011-03-11,1,0,3,5,2,0.31652199999999997,0.305,0.649565,0.23296999999999998,247,1730,1977
71,2011-03-12,1,0,3,6,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132
72,2011-03-13,1,0,3,0,1,0.384348,0.380091,0.5273909999999999,0.270604,982,1435,2417
73,2011-03-14,1,0,3,1,1,0.32521700000000003,0.332,0.496957,0.136926,359,1687,2046
74,2011-03-15,1,0,3,2,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056
75,2011-03-16,1,0,3,3,2,0.365217,0.36693000000000003,0.776522,0.20311700000000002,321,1871,2192
76,2011-03-17,1,0,3,4,1,0.415,0.410333,0.602917,0.209579,424,2320,2744
77,2011-03-18,1,0,3,5,1,0.54,0.5270090000000001,0.525217,0.231017,884,2355,3239
78,2011-03-19,1,0,3,6,1,0.4725,0.466525,0.37916700000000003,0.368167,1424,1693,3117
79,2011-03-20,1,0,3,0,1,0.3325,0.32575,0.47375,0.20772100000000002,1047,1424,2471
80,2011-03-21,2,0,3,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077
81,2011-03-22,2,0,3,2,1,0.44166700000000003,0.44064200000000003,0.624583,0.22575,460,2243,2703
82,2011-03-23,2,0,3,3,2,0.346957,0.337939,0.839565,0.23426100000000002,203,1918,2121
83,2011-03-24,2,0,3,4,2,0.285,0.270833,0.805833,0.24378699999999998,166,1699,1865
84,2011-03-25,2,0,3,5,1,0.264167,0.256312,0.495,0.230725,300,1910,2210
85,2011-03-26,2,0,3,6,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496
86,2011-03-27,2,0,3,0,2,0.25304299999999996,0.250339,0.493913,0.1843,472,1221,1693
87,2011-03-28,2,0,3,1,1,0.264348,0.25757399999999997,0.302174,0.212204,222,1806,2028
88,2011-03-29,2,0,3,2,1,0.3025,0.292908,0.31416700000000003,0.226996,317,2108,2425
89,2011-03-30,2,0,3,3,2,0.3,0.29735,0.646667,0.17288800000000001,168,1368,1536
90,2011-03-31,2,0,3,4,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685
91,2011-04-01,2,0,4,5,2,0.3,0.283454,0.68625,0.258708,307,1920,2227
92,2011-04-02,2,0,4,6,2,0.315,0.315637,0.65375,0.19714600000000002,898,1354,2252
93,2011-04-03,2,0,4,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249
94,2011-04-04,2,0,4,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115
95,2011-04-05,2,0,4,2,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795
96,2011-04-06,2,0,4,3,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808
97,2011-04-07,2,0,4,4,1,0.4375,0.433696,0.602917,0.16231199999999998,571,2570,3141
98,2011-04-08,2,0,4,5,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471
99,2011-04-09,2,0,4,6,2,0.3425,0.34152899999999997,0.8775,0.13308299999999998,879,1576,2455
100,2011-04-10,2,0,4,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895
101,2011-04-11,2,0,4,1,2,0.5956520000000001,0.565217,0.716956,0.324474,855,2493,3348
102,2011-04-12,2,0,4,2,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034
103,2011-04-13,2,0,4,3,2,0.4125,0.417283,0.819167,0.25061700000000003,209,1953,2162
104,2011-04-14,2,0,4,4,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267
105,2011-04-15,2,0,4,5,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126
106,2011-04-16,2,0,4,6,3,0.43083299999999997,0.425492,0.888333,0.340808,121,674,795
107,2011-04-17,2,0,4,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744
108,2011-04-18,2,0,4,1,1,0.5125,0.503146,0.5425,0.16356700000000002,669,2760,3429
109,2011-04-19,2,0,4,2,2,0.505833,0.48925799999999997,0.665833,0.157971,409,2795,3204
110,2011-04-20,2,0,4,3,1,0.595,0.564392,0.614167,0.241925,613,3331,3944
111,2011-04-21,2,0,4,4,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189
112,2011-04-22,2,0,4,5,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683
113,2011-04-23,2,0,4,6,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036
114,2011-04-24,2,0,4,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191
115,2011-04-25,2,0,4,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073
116,2011-04-26,2,0,4,2,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400
117,2011-04-27,2,0,4,3,2,0.62,0.575142,0.835417,0.3122,547,3325,3872
118,2011-04-28,2,0,4,4,2,0.6175,0.578929,0.700833,0.32090799999999997,569,3489,4058
119,2011-04-29,2,0,4,5,1,0.51,0.497463,0.457083,0.240063,878,3717,4595
120,2011-04-30,2,0,4,6,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312
121,2011-05-01,2,0,5,0,2,0.451667,0.448204,0.762083,0.10635399999999999,1138,2213,3351
122,2011-05-02,2,0,5,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401
123,2011-05-03,2,0,5,2,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451
124,2011-05-04,2,0,5,3,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633
125,2011-05-05,2,0,5,4,1,0.459167,0.441917,0.44416700000000003,0.295392,614,3819,4433
126,2011-05-06,2,0,5,5,1,0.479167,0.474117,0.59,0.228246,894,3714,4608
127,2011-05-07,2,0,5,6,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714
128,2011-05-08,2,0,5,0,1,0.5283329999999999,0.518933,0.631667,0.0746375,1401,2932,4333
129,2011-05-09,2,0,5,1,1,0.5325,0.525246,0.58875,0.17600000000000002,664,3698,4362
130,2011-05-10,2,0,5,2,1,0.5325,0.522721,0.489167,0.11567100000000001,694,4109,4803
131,2011-05-11,2,0,5,3,1,0.5425,0.5284,0.632917,0.12064200000000001,550,3632,4182
132,2011-05-12,2,0,5,4,1,0.535,0.523363,0.7475,0.189667,695,4169,4864
133,2011-05-13,2,0,5,5,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105
134,2011-05-14,2,0,5,6,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409
135,2011-05-15,2,0,5,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553
136,2011-05-16,2,0,5,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958
137,2011-05-17,2,0,5,2,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123
138,2011-05-18,2,0,5,3,2,0.55,0.527158,0.87,0.201492,536,3319,3855
139,2011-05-19,2,0,5,4,2,0.530833,0.510742,0.829583,0.10821300000000002,735,3840,4575
140,2011-05-20,2,0,5,5,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917
141,2011-05-21,2,0,5,6,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805
142,2011-05-22,2,0,5,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660
143,2011-05-23,2,0,5,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274
144,2011-05-24,2,0,5,2,2,0.66,0.604813,0.740833,0.207092,659,3833,4492
145,2011-05-25,2,0,5,3,1,0.660833,0.615542,0.69625,0.15423299999999998,740,4238,4978
146,2011-05-26,2,0,5,4,1,0.708333,0.654688,0.6775,0.19964200000000001,758,3919,4677
147,2011-05-27,2,0,5,5,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679
148,2011-05-28,2,0,5,6,1,0.655833,0.612379,0.729583,0.23009200000000002,2001,2757,4758
149,2011-05-29,2,0,5,0,1,0.6675,0.61555,0.81875,0.21393800000000002,2355,2433,4788
150,2011-05-30,2,0,5,1,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098
151,2011-05-31,2,0,5,2,1,0.775,0.725383,0.636667,0.111329,673,3309,3982
152,2011-06-01,2,0,6,3,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974
153,2011-06-02,2,0,6,4,1,0.715,0.643942,0.305,0.29228699999999996,736,4232,4968
154,2011-06-03,2,0,6,5,1,0.62,0.587133,0.354167,0.253121,898,4414,5312
155,2011-06-04,2,0,6,6,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342
156,2011-06-05,2,0,6,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906
157,2011-06-06,2,0,6,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548
158,2011-06-07,2,0,6,2,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833
159,2011-06-08,2,0,6,3,1,0.775833,0.727279,0.6220829999999999,0.136817,676,3725,4401
160,2011-06-09,2,0,6,4,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915
161,2011-06-10,2,0,6,5,1,0.755,0.703292,0.605,0.14055399999999998,815,3771,4586
162,2011-06-11,2,0,6,6,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966
163,2011-06-12,2,0,6,0,1,0.6925,0.643325,0.747917,0.16356700000000002,1467,2993,4460
164,2011-06-13,2,0,6,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020
165,2011-06-14,2,0,6,2,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891
166,2011-06-15,2,0,6,3,1,0.626667,0.587754,0.471667,0.16791199999999998,769,4411,5180
167,2011-06-16,2,0,6,4,2,0.628333,0.595346,0.688333,0.20647100000000002,545,3222,3767
168,2011-06-17,2,0,6,5,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844
169,2011-06-18,2,0,6,6,1,0.696667,0.643954,0.670417,0.11940799999999999,1807,3312,5119
170,2011-06-19,2,0,6,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744
171,2011-06-20,2,0,6,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010
172,2011-06-21,3,0,6,2,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835
173,2011-06-22,3,0,6,3,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507
174,2011-06-23,3,0,6,4,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790
175,2011-06-24,3,0,6,5,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991
176,2011-06-25,3,0,6,6,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202
177,2011-06-26,3,0,6,0,1,0.68,0.637629,0.513333,0.09453330000000001,1920,3385,5305
178,2011-06-27,3,0,6,1,2,0.6825,0.637004,0.658333,0.10758800000000002,854,3854,4708
179,2011-06-28,3,0,6,2,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648
180,2011-06-29,3,0,6,3,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225
181,2011-06-30,3,0,6,4,1,0.696667,0.637008,0.434167,0.18531199999999998,1027,4488,5515
182,2011-07-01,3,0,7,5,1,0.7225,0.652162,0.39625,0.10260799999999999,1246,4116,5362
183,2011-07-02,3,0,7,6,1,0.738333,0.667308,0.444583,0.11506199999999998,2204,2915,5119
184,2011-07-03,3,0,7,0,2,0.716667,0.668575,0.6825,0.228858,2282,2367,4649
185,2011-07-04,3,0,7,1,2,0.726667,0.665417,0.637917,0.08147919999999999,3065,2978,6043
186,2011-07-05,3,0,7,2,1,0.746667,0.696338,0.590417,0.12625799999999998,1031,3634,4665
187,2011-07-06,3,0,7,3,1,0.72,0.685633,0.743333,0.149883,784,3845,4629
188,2011-07-07,3,0,7,4,1,0.75,0.686871,0.65125,0.1592,754,3838,4592
189,2011-07-08,3,0,7,5,2,0.709167,0.6704829999999999,0.757917,0.225129,692,3348,4040
190,2011-07-09,3,0,7,6,1,0.733333,0.664158,0.609167,0.16791199999999998,1988,3348,5336
191,2011-07-10,3,0,7,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881
192,2011-07-11,3,0,7,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086
193,2011-07-12,3,0,7,2,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258
194,2011-07-13,3,0,7,3,1,0.746667,0.689404,0.631667,0.14613299999999999,748,3594,4342
195,2011-07-14,3,0,7,4,1,0.680833,0.635104,0.47625,0.24066700000000002,888,4196,5084
196,2011-07-15,3,0,7,5,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538
197,2011-07-16,3,0,7,6,1,0.686667,0.638263,0.585,0.208342,2418,3505,5923
198,2011-07-17,3,0,7,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302
199,2011-07-18,3,0,7,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458
200,2011-07-19,3,0,7,2,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541
201,2011-07-20,3,0,7,3,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332
202,2011-07-21,3,0,7,4,2,0.815,0.826371,0.69125,0.222021,632,3152,3784
203,2011-07-22,3,0,7,5,1,0.848333,0.8408959999999999,0.580417,0.1331,562,2825,3387
204,2011-07-23,3,0,7,6,1,0.849167,0.804287,0.5,0.131221,987,2298,3285
205,2011-07-24,3,0,7,0,1,0.83,0.794829,0.550833,0.16917100000000002,1050,2556,3606
206,2011-07-25,3,0,7,1,1,0.743333,0.720958,0.757083,0.09080830000000001,568,3272,3840
207,2011-07-26,3,0,7,2,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590
208,2011-07-27,3,0,7,3,1,0.775,0.690667,0.402917,0.18346300000000001,755,3901,4656
209,2011-07-28,3,0,7,4,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390
210,2011-07-29,3,0,7,5,1,0.838333,0.785967,0.5425,0.17413800000000001,670,3176,3846
211,2011-07-30,3,0,7,6,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475
212,2011-07-31,3,0,7,0,1,0.805833,0.729796,0.480833,0.16481300000000002,1524,2778,4302
213,2011-08-01,3,0,8,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266
214,2011-08-02,3,0,8,2,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845
215,2011-08-03,3,0,8,3,2,0.731667,0.679937,0.6575,0.13558299999999998,467,3107,3574
216,2011-08-04,3,0,8,4,2,0.71,0.664788,0.7575,0.19715,799,3777,4576
217,2011-08-05,3,0,8,5,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866
218,2011-08-06,3,0,8,6,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294
219,2011-08-07,3,0,8,0,1,0.7425,0.715292,0.7529170000000001,0.201487,1298,2487,3785
220,2011-08-08,3,0,8,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326
221,2011-08-09,3,0,8,2,1,0.775,0.724121,0.570417,0.151121,907,3695,4602
222,2011-08-10,3,0,8,3,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780
223,2011-08-11,3,0,8,4,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792
224,2011-08-12,3,0,8,5,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905
225,2011-08-13,3,0,8,6,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150
226,2011-08-14,3,0,8,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820
227,2011-08-15,3,0,8,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338
228,2011-08-16,3,0,8,2,1,0.700833,0.645837,0.578333,0.23632899999999998,721,4004,4725
229,2011-08-17,3,0,8,3,1,0.723333,0.666671,0.575417,0.14366700000000002,668,4026,4694
230,2011-08-18,3,0,8,4,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805
231,2011-08-19,3,0,8,5,2,0.685,0.633221,0.722917,0.139308,797,3356,4153
232,2011-08-20,3,0,8,6,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191
233,2011-08-21,3,0,8,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873
234,2011-08-22,3,0,8,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758
235,2011-08-23,3,0,8,2,1,0.640833,0.606067,0.455417,0.146763,1281,4614,5895
236,2011-08-24,3,0,8,3,1,0.673333,0.630692,0.605,0.253108,949,4181,5130
237,2011-08-25,3,0,8,4,2,0.684167,0.645854,0.771667,0.210833,435,3107,3542
238,2011-08-26,3,0,8,5,1,0.7,0.659733,0.76125,0.0839625,768,3893,4661
239,2011-08-27,3,0,8,6,2,0.68,0.635556,0.85,0.37561700000000003,226,889,1115
240,2011-08-28,3,0,8,0,1,0.707059,0.6479590000000001,0.561765,0.304659,1415,2919,4334
241,2011-08-29,3,0,8,1,1,0.636667,0.607958,0.554583,0.159825,729,3905,4634
242,2011-08-30,3,0,8,2,1,0.639167,0.594704,0.548333,0.12500799999999998,775,4429,5204
243,2011-08-31,3,0,8,3,1,0.656667,0.611121,0.597917,0.08333330000000001,688,4370,5058
244,2011-09-01,3,0,9,4,1,0.655,0.614921,0.639167,0.141796,783,4332,5115
245,2011-09-02,3,0,9,5,2,0.643333,0.604808,0.727083,0.139929,875,3852,4727
246,2011-09-03,3,0,9,6,1,0.669167,0.633213,0.716667,0.185325,1935,2549,4484
247,2011-09-04,3,0,9,0,1,0.709167,0.665429,0.742083,0.206467,2521,2419,4940
248,2011-09-05,3,0,9,1,2,0.673333,0.625646,0.790417,0.212696,1236,2115,3351
249,2011-09-06,3,0,9,2,3,0.54,0.5152,0.886957,0.343943,204,2506,2710
250,2011-09-07,3,0,9,3,3,0.599167,0.544229,0.917083,0.0970208,118,1878,1996
251,2011-09-08,3,0,9,4,3,0.6339130000000001,0.555361,0.939565,0.192748,153,1689,1842
252,2011-09-09,3,0,9,5,2,0.65,0.578946,0.897917,0.12437899999999999,417,3127,3544
253,2011-09-10,3,0,9,6,1,0.66,0.607962,0.75375,0.153608,1750,3595,5345
254,2011-09-11,3,0,9,0,1,0.6533329999999999,0.609229,0.71375,0.11505399999999999,1633,3413,5046
255,2011-09-12,3,0,9,1,1,0.6443479999999999,0.60213,0.692174,0.088913,690,4023,4713
256,2011-09-13,3,0,9,2,1,0.650833,0.603554,0.7125,0.14180399999999999,701,4062,4763
257,2011-09-14,3,0,9,3,1,0.673333,0.6269,0.697083,0.1673,647,4138,4785
258,2011-09-15,3,0,9,4,2,0.5775,0.553671,0.709167,0.271146,428,3231,3659
259,2011-09-16,3,0,9,5,2,0.469167,0.461475,0.590417,0.164183,742,4018,4760
260,2011-09-17,3,0,9,6,2,0.491667,0.478512,0.718333,0.189675,1434,3077,4511
261,2011-09-18,3,0,9,0,1,0.5075,0.490537,0.695,0.178483,1353,2921,4274
262,2011-09-19,3,0,9,1,2,0.549167,0.529675,0.69,0.15174200000000002,691,3848,4539
263,2011-09-20,3,0,9,2,2,0.561667,0.532217,0.88125,0.134954,438,3203,3641
264,2011-09-21,3,0,9,3,2,0.595,0.5505329999999999,0.9,0.0964042,539,3813,4352
265,2011-09-22,3,0,9,4,2,0.628333,0.554963,0.902083,0.128125,555,4240,4795
266,2011-09-23,4,0,9,5,2,0.609167,0.522125,0.9725,0.0783667,258,2137,2395
267,2011-09-24,4,0,9,6,2,0.606667,0.564412,0.8625,0.0783833,1776,3647,5423
268,2011-09-25,4,0,9,0,2,0.634167,0.572637,0.845,0.0503792,1544,3466,5010
269,2011-09-26,4,0,9,1,2,0.649167,0.589042,0.848333,0.1107,684,3946,4630
270,2011-09-27,4,0,9,2,2,0.636667,0.574525,0.885417,0.118171,477,3643,4120
271,2011-09-28,4,0,9,3,2,0.635,0.575158,0.84875,0.14862899999999998,480,3427,3907
272,2011-09-29,4,0,9,4,1,0.616667,0.574512,0.699167,0.17288299999999998,653,4186,4839
273,2011-09-30,4,0,9,5,1,0.564167,0.544829,0.6475,0.206475,830,4372,5202
274,2011-10-01,4,0,10,6,2,0.41,0.41286300000000004,0.75375,0.292296,480,1949,2429
275,2011-10-02,4,0,10,0,2,0.356667,0.345317,0.791667,0.22201300000000002,616,2302,2918
276,2011-10-03,4,0,10,1,2,0.384167,0.392046,0.760833,0.08334580000000001,330,3240,3570
277,2011-10-04,4,0,10,2,1,0.484167,0.472858,0.71,0.205854,486,3970,4456
278,2011-10-05,4,0,10,3,1,0.538333,0.527138,0.647917,0.17725,559,4267,4826
279,2011-10-06,4,0,10,4,1,0.494167,0.480425,0.620833,0.134954,639,4126,4765
280,2011-10-07,4,0,10,5,1,0.510833,0.504404,0.684167,0.0223917,949,4036,4985
281,2011-10-08,4,0,10,6,1,0.521667,0.513242,0.70125,0.0454042,2235,3174,5409
282,2011-10-09,4,0,10,0,1,0.540833,0.523983,0.7275,0.06345,2397,3114,5511
283,2011-10-10,4,0,10,1,1,0.570833,0.542925,0.73375,0.0423042,1514,3603,5117
284,2011-10-11,4,0,10,2,2,0.566667,0.546096,0.80875,0.143042,667,3896,4563
285,2011-10-12,4,0,10,3,3,0.543333,0.517717,0.90625,0.24815,217,2199,2416
